airport_code_std,airport_name_std,year,enplanements,covid_period,is_missing_imputed,data_flag
FLO,Florence Regional,2023,22734.0,0,0,ok
FNT,Bishop International,2023,281903.0,0,0,ok
FOD,Fort Dodge Regional,2023,6195.0,0,0,ok
FSD,Joe Foss Field,2023,655505.0,0,0,ok
FSM,Fort Smith Regional,2023,58615.0,0,0,ok
FWA,Fort Wayne International,2023,392876.0,0,0,ok
FXE,Fort Lauderdale Exec,2023,10625.0,0,0,ok
FYU,Fort Yukon,2023,5506.0,0,0,ok
GAL,Edward G Pitka Sr,2023,11758.0,0,0,ok
GAM,Gambell,2023,3142.0,0,0,ok
GCC,Gillette-Campbell County,2023,26784.0,0,0,ok
GCK,Garden City Regional,2023,27856.0,0,0,ok
GEG,Spokane International,2023,2002286.0,0,0,ok
GFK,Grand Forks International,2023,93877.0,0,0,ok
GGG,East Texas Regional,2023,32613.0,0,0,ok
GGW,Wokal Field/Glasgow-Valley County,2023,2892.0,0,0,ok
GJT,Grand Junction Regional,2023,243808.0,0,0,ok
GLH,Mid Delta Regional,2023,7521.0,0,0,ok
GNV,Gainesville Regional,2023,273366.0,0,0,ok
GPI,Glacier Park International,2023,456285.0,0,0,ok
GPT,Gulfport-Biloxi International,2023,376980.0,0,0,ok
GRB,Austin Straubel International,2023,330492.0,0,0,ok
GRI,Central Nebraska Regional,2023,65092.0,0,0,ok
GRK,Robert Gray AAF,2023,113701.0,0,0,ok
GRO,Benjamin Taisacan Manglona International,2023,11136.0,0,0,ok
GRR,Gerald R Ford International,2023,1899740.0,0,0,ok
GSN,Francisco C Ada/Saipan International,2023,218374.0,0,0,ok
GSO,Piedmont Triad International,2023,903776.0,0,0,ok
GSP,Greenville Spartanburg International,2023,1258724.0,0,0,ok
GST,Gustavus,2023,9584.0,0,0,ok
GTF,Great Falls International,2023,177290.0,0,0,ok
GTR,Golden Triangle Regional,2023,42509.0,0,0,ok
GUC,Gunnison-Crested Butte Regional,2023,49588.0,0,0,ok
GUM,Guam International,2023,860519.0,0,0,ok
HDN,Yampa Valley,2023,206236.0,0,0,ok
HGR,Hagerstown Regional-Richard A Henson Field,2023,32331.0,0,0,ok
HHR,Jack Northrop Field/Hawthorne Municipal,2023,5100.0,0,0,ok
HIB,Range Regional,2023,11775.0,0,0,ok
HLA,Huslia,2023,3304.0,0,0,ok
HLN,Helena Regional,2023,88319.0,0,0,ok
HNH,Hoonah,2023,5790.0,0,0,ok
HNL,Honolulu International,2023,10149761.0,0,0,ok
HNS,Haines,2023,6306.0,0,0,ok
HOB,Lea County Regional,2023,22187.0,0,0,ok
HOM,Homer,2023,34682.0,0,0,ok
HOT,Memorial Field,2023,3727.0,0,0,ok
HOU,William P Hobby,2023,6800320.0,0,0,ok
HPB,Hooper Bay,2023,4314.0,0,0,ok
HPN,Westchester County,2023,1156719.0,0,0,ok
HRL,Valley International,2023,536510.0,0,0,ok
HRO,Boone County,2023,4565.0,0,0,ok
HSV,Huntsville International-Carl T Jones Field,2023,724147.0,0,0,ok
HTS,Tri-State/Milton J Ferguson Field,2023,88888.0,0,0,ok
HVN,Tweed-New Haven,2023,490255.0,0,0,ok
HVR,Havre City-County,2023,2964.0,0,0,ok
HXD,Hilton Head,2023,103964.0,0,0,ok
HYA,Barnstable Municipal-Boardman/Polando Field,2023,17472.0,0,0,ok
HYS,Hays Regional,2023,10038.0,0,0,ok
IAD,Washington Dulles International,2023,12073571.0,0,0,ok
IAG,Niagara Falls International,2023,52631.0,0,0,ok
IAH,George Bush Intercontinental/Houston,2023,22228844.0,0,0,ok
IAN,Bob Baker Memorial,2023,2759.0,0,0,ok
ICT,Wichita Mid-Continent,2023,843273.0,0,0,ok
IDA,Idaho Falls Regional,2023,270140.0,0,0,ok
IIK,Kipnuk,2023,4466.0,0,0,ok
ILG,New Castle,2023,133377.0,0,0,ok
ILI,Iliamna,2023,5749.0,0,0,ok
ILM,Wilmington International,2023,655912.0,0,0,ok
IMT,Ford,2023,17966.0,0,0,ok
IND,Indianapolis International,2023,4788376.0,0,0,ok
INL,Falls International,2023,13277.0,0,0,ok
IPL,Imperial County,2023,7100.0,0,0,ok
IRK,Kirksville Regional,2023,4281.0,0,0,ok
ISP,Long Island MacArthur,2023,641423.0,0,0,ok
ITH,Ithaca Tompkins Regional,2023,60848.0,0,0,ok
ITO,Hilo International,2023,684175.0,0,0,ok
IWA,Phoenix-Mesa Gateway,2023,964132.0,0,0,ok
IWD,Gogebic-Iron County,2023,7042.0,0,0,ok
JAC,Jackson Hole,2023,494863.0,0,0,ok
JAN,Jackson-Medgar Wiley Evers International,2023,628321.0,0,0,ok
JAX,Jacksonville International,2023,3619739.0,0,0,ok
JFK,John F Kennedy International,2023,30804355.0,0,0,ok
JLN,Joplin Regional,2023,14420.0,0,0,ok
JMS,Jamestown Regional,2023,10590.0,0,0,ok
JNU,Juneau International,2023,440279.0,0,0,ok
JQF,Concord-Padgett Regional,2023,119072.0,0,0,ok
JST,John Murtha Johnstown-Cambria County,2023,14253.0,0,0,ok
KOA,Kona International at Keahole,2023,2097042.0,0,0,ok
KSM,St Mary's,2023,4912.0,0,0,ok
KTN,Ketchikan International,2023,148645.0,0,0,ok
KVL,Kivalina,2023,3003.0,0,0,ok
KWT,Kwethluk,2023,2614.0,0,0,ok
LAN,Capital Region International,2023,115895.0,0,0,ok
LAR,Laramie Regional,2023,18094.0,0,0,ok
LAS,McCarran International,2023,27896199.0,0,0,ok
LAW,Lawton-Fort Sill Regional,2023,45716.0,0,0,ok
LAX,Los Angeles International,2023,40956673.0,0,0,ok
LBB,Lubbock Preston Smith International,2023,543363.0,0,0,ok
LBE,Arnold Palmer Regional,2023,76925.0,0,0,ok
LBF,North Platte Regional Airport Lee Bird Field,2023,14371.0,0,0,ok
LBL,Liberal Mid-America Regional,2023,8267.0,0,0,ok
LCH,Lake Charles Regional,2023,82425.0,0,0,ok
LCK,Rickenbacker International,2023,149363.0,0,0,ok
LEB,Lebanon Municipal,2023,10863.0,0,0,ok
LEX,Blue Grass,2023,665667.0,0,0,ok
LFT,Lafayette Regional,2023,229831.0,0,0,ok
LGA,La Guardia,2023,16173073.0,0,0,ok
LGB,Long Beach /Daugherty Field/,2023,1837634.0,0,0,ok
LIH,Lihue,2023,1814359.0,0,0,ok
LIT,Adams Field,2023,1097472.0,0,0,ok
LNK,Lincoln,2023,131882.0,0,0,ok
LNS,Lancaster,2023,6264.0,0,0,ok
LNY,Lanai,2023,34430.0,0,0,ok
LRD,Laredo International,2023,151114.0,0,0,ok
